id	ses
sub-CC00129BN14	43701
sub-CC00075XX10	28400
sub-CC00192AN12	64301
sub-CC00242XX12	80900
sub-CC01111XX06	100031
sub-CC00353XX07	111000
sub-CC00587XX19	180300
sub-CC01041XX11	81131
sub-CC00714XX13	240900
sub-CC00663XX12	195000
sub-CC00159XX11	52600
sub-CC00227XX13	92100
sub-CC00454XX09	137600
sub-CC00792XX18	1800
sub-CC01037XX15	77430
sub-CC00816XX16	40010
sub-CC00080XX07	30300
sub-CC00247XX17	82801
sub-CC01201XX05	141630
sub-CC00882XX17	13030
sub-CC00428XX16	130400
sub-CC00734XX17	216900
sub-CC00560XX08	159800
sub-CC00164XX08	54000
sub-CC00672BN13	214800
sub-CC00322XX09	103700
sub-CC00299XX20	94900
sub-CC00114XX07	37100
sub-CC00508XX13	148700
sub-CC00287BN16	91801
sub-CC00136AN13	64201
sub-CC00304XX07	111600
sub-CC00201XX03	67600
sub-CC00885XX20	1520
sub-CC01004XX06	51630
sub-CC00308XX11	98900
sub-CC00976XX20	64331
sub-CC00922XX15	44730
sub-CC00620XX10	210900
sub-CC01200XX04	154330
sub-CC00398XX20	123100
sub-CC00352XX06	110700
sub-CC00550XX06	157800
sub-CC00768XX18	236400
sub-CC00845BN21	32110
sub-CC00091XX10	32300
sub-CC00057XX08	11002
sub-CC00716XX15	222800
sub-CC00344XX15	108600
sub-CC00886XX21	18030
sub-CC00838XX22	30610
sub-CC00530XX11	181301
sub-CC00050XX01	7201
sub-CC00340XX11	107902
sub-CC00904XX13	31830
sub-CC01032XX10	77330
sub-CC01082XX11	68830
sub-CC01069XX14	79730
sub-CC00325XX12	103900
sub-CC00879XX22	5230
sub-CC00440XX12	132200
sub-CC00933XX18	20530
sub-CC00708XX15	207500
sub-CC00106XX07	36100
sub-CC00596XX20	190100
sub-CC00383XX13	121800
sub-CC00462XX09	134100
sub-CC00100XX01	35000
sub-CC00111XX04	37002
sub-CC00516XX13	152902
sub-CC00073XX08	27800
sub-CC00476XX15	141500
sub-CC00914XX15	30130
sub-CC00926XX19	35330
sub-CC00406XX10	122900
sub-CC00433XX13	132000
sub-CC00131XX08	44200
sub-CC00244XX14	81200
sub-CC00528XX17	183200
sub-CC00187XX15	61500
sub-CC00113XX06	37200
sub-CC00803XX11	2700
sub-CC00791XX17	27611
sub-CC00925XX18	46230
sub-CC00135AN12	54400
sub-CC00538XX19	157200
sub-CC01021XX07	78630
sub-CC00987XX23	66031
sub-CC00122XX07	42000
sub-CC00911XX12	18830
sub-CC00115XX08	37801
sub-CC00861XX12	20830
sub-CC00287BN16	93900
sub-CC01023XX09	74030
sub-CC01015XX09	74130
sub-CC00648XX22	204400
sub-CC00731XX14	214500
sub-CC00129AN14	43500
sub-CC00068XX11	20701
sub-CC00630XX12	182500
